Code,Media
Afghanistan,2.572344356800001
Albania,7.164
Algeria,0.784
Andorra,11.794
Angola,6.142
Antigua and Barbuda,5.674
Argentina,8.549947706755951
Armenia,5.42
Australia,11.505999999999998
Austria,12.428
Azerbaijan,3.444
Bahamas,4.662000000000001
Bahrain,1.5159999999999998
Bangladesh,0.11800000000000002
Barbados,8.296
Belarus,14.27
Belgium,11.984
Belize,6.55
Benin,2.588
Bhutan,1.228
Bolivia,4.488
Bosnia and Herzegovina,6.992
Botswana,8.146
Brazil,8.174000000000001
Bulgaria,11.905999999999999
Burkina Faso,10.006
Burundi,8.027999999999999
Cambodia,4.496
Cameroon,6.912000000000001
Canada,8.0303443568
Cape Verde,6.4079999999999995
Central African Republic,3.218
Chad,3.6720000000000006
Chile,8.862
China,5.82
Colombia,5.510000000000001
Comoros,0.49000000000000005
Congo,6.1080000000000005
Costa Rica,5.08
Cote d'Ivoire,3.6799999999999997
Croatia,10.228
Cuba,5.372
Cyprus,11.242
Denmark,11.315999999999999
Djibouti,0.898
Dominica,9.85
Dominican Republic,6.547999999999999
Ecuador,5.422
Egypt,0.332
El Salvador,3.69
Equatorial Guinea,8.374
Eritrea,1.578
Estonia,11.846
Ethiopia,2.1719999999999997
Fiji,3.134
Finland,11.870000000000001
France,12.908000000000001
Gabon,9.629999999999999
Gambia,3.8880000000000003
Georgia,7.6659999999999995
Germany,13.209999999999999
Ghana,3.84
Greece,10.25
Grenada,9.084
Guatemala,3.44
Guinea,0.8640000000000001
Guinea-Bissau,4.872
Guyana,7.596000000000001
Haiti,3.2479999999999998
Honduras,3.6439999999999997
Hungary,12.774000000000001
Iceland,8.026
India,4.008
Indonesia,0.5479999999999999
Iraq,0.42800000000000005
Ireland,13.35
Israel,3.3939999999999997
Italy,8.51
Jamaica,4.426
Japan,7.85
Jordan,0.6599999999999999
Kazakhstan,6.38
Kenya,3.1359999999999997
Kiribati,1.3499999999999999
Kuwait,0.019
Kyrgyzstan,8.914
Latvia,11.552000000000001
Lebanon,2.114
Lesotho,5.714
Liberia,5.924
Lithuania,14.662
Luxembourg,13.4
Madagascar,1.8719999999999999
Malawi,3.15
Malaysia,1.166
Maldives,1.9
Mali,1.1640000000000001
Malta,6.9
Mauritania,0.097
Mauritius,4.518000000000001
Mexico,5.608
Mongolia,7.4399999999999995
Montenegro,9.9383443568
Morocco,0.852
Mozambique,1.95
Myanmar,2.8920000000000003
Namibia,3.722
Nauru,4.518
Nepal,1.8219999999999998
Netherlands,10.232
New Zealand,10.745999999999999
Nicaragua,5.07
Niger,0.402
Nigeria,11.675999999999998
Norway,8.138
Oman,2.0799999999999996
Pakistan,0.213
Panama,6.7
Papua New Guinea,1.568
Paraguay,7.091999999999999
Peru,6.846000000000001
Philippines,6.454000000000001
Poland,10.864
Portugal,12.774000000000001
Qatar,1.544
Romania,14.128
Rwanda,11.041999999999998
Saint Kitts and Nevis,9.661999999999999
Saint Lucia,10.734
Saint Vincent and the Grenadines,7.110000000000001
Samoa,3.242
Sao Tome and Principe,7.666000000000001
Saudi Arabia,0.182
Senegal,0.78
Serbia,8.2743443568
Seychelles,12.558
Sierra Leone,5.706
Singapore,2.112
Slovakia,11.84
Slovenia,12.216
Solomon Islands,1.556
Somalia,1.294181691
South Africa,9.754
Spain,11.866
Sri Lanka,3.386
Sudan,3.8839590918000004
Suriname,5.611999999999999
Sweden,8.944
Switzerland,11.73
Tajikistan,2.854
Thailand,7.534000000000001
Togo,2.3980000000000006
Tonga,1.3779999999999997
Trinidad and Tobago,6.249999999999999
Tunisia,1.6660000000000004
Turkey,2.2039999999999997
Turkmenistan,4.95
Tuvalu,1.834
Uganda,14.052000000000001
Ukraine,11.304
United Arab Emirates,3.412
United Kingdom,12.468
Uruguay,7.312
Uzbekistan,3.604
Vanuatu,1.6920000000000002
Venezuela,7.640000000000001
Yemen,0.2832
Zambia,5.362
Zimbabwe,3.75
