Country,Code,Consum Mediu
Lithuania,LTU,14.662
Belarus,BLR,14.27
Romania,ROU,14.128
Uganda,UGA,14.052000000000001
Luxembourg,LUX,13.4
Ireland,IRL,13.35
Germany,DEU,13.209999999999999
France,FRA,12.908000000000001
Hungary,HUN,12.774000000000001
Portugal,PRT,12.774000000000001
Seychelles,SYC,12.558
United Kingdom,GBR,12.468
Austria,AUT,12.428
Slovenia,SVN,12.216
Belgium,BEL,11.984
Bulgaria,BGR,11.905999999999999
Finland,FIN,11.870000000000001
Spain,ESP,11.866
Estonia,EST,11.846
Slovakia,SVK,11.84
Andorra,AND,11.794
Switzerland,CHE,11.73
Nigeria,NGA,11.675999999999998
Latvia,LVA,11.552000000000001
Australia,AUS,11.505999999999998
Denmark,DNK,11.315999999999999
Ukraine,UKR,11.304
Cyprus,CYP,11.242
Rwanda,RWA,11.041999999999998
Poland,POL,10.864
New Zealand,NZL,10.745999999999999
Saint Lucia,LCA,10.734
Greece,GRC,10.25
Netherlands,NLD,10.232
Croatia,HRV,10.228
Burkina Faso,BFA,10.006
Montenegro,MNE,9.9383443568
Dominica,DMA,9.85
South Africa,ZAF,9.754
Saint Kitts and Nevis,KNA,9.661999999999999
Gabon,GAB,9.629999999999999
Grenada,GRD,9.084
Sweden,SWE,8.944
Kyrgyzstan,KGZ,8.914
Chile,CHL,8.862
Argentina,ARG,8.549947706755951
Italy,ITA,8.51
Equatorial Guinea,GNQ,8.374
Barbados,BRB,8.296
Serbia,SRB,8.2743443568
Brazil,BRA,8.174000000000001
Botswana,BWA,8.146
Norway,NOR,8.138
Canada,CAN,8.0303443568
Burundi,BDI,8.027999999999999
Iceland,ISL,8.026
Japan,JPN,7.85
Sao Tome and Principe,STP,7.666000000000001
Georgia,GEO,7.6659999999999995
Venezuela,VEN,7.640000000000001
Guyana,GUY,7.596000000000001
Thailand,THA,7.534000000000001
Mongolia,MNG,7.4399999999999995
Uruguay,URY,7.312
Albania,ALB,7.164
Saint Vincent and the Grenadines,VCT,7.110000000000001
Paraguay,PRY,7.091999999999999
Bosnia and Herzegovina,BIH,6.992
Cameroon,CMR,6.912000000000001
Malta,MLT,6.9
Peru,PER,6.846000000000001
Panama,PAN,6.7
Belize,BLZ,6.55
Dominican Republic,DOM,6.547999999999999
Philippines,PHL,6.454000000000001
Cape Verde,CPV,6.4079999999999995
Kazakhstan,KAZ,6.38
Trinidad and Tobago,TTO,6.249999999999999
Angola,AGO,6.142
Congo,COG,6.1080000000000005
Liberia,LBR,5.924
China,CHN,5.82
Lesotho,LSO,5.714
Sierra Leone,SLE,5.706
Antigua and Barbuda,ATG,5.674
Suriname,SUR,5.611999999999999
Mexico,MEX,5.608
Colombia,COL,5.510000000000001
Ecuador,ECU,5.422
Armenia,ARM,5.42
Cuba,CUB,5.372
Zambia,ZMB,5.362
Costa Rica,CRI,5.08
Nicaragua,NIC,5.07
Turkmenistan,TKM,4.95
Guinea-Bissau,GNB,4.872
Bahamas,BHS,4.662000000000001
Mauritius,MUS,4.518000000000001
Nauru,NRU,4.518
Cambodia,KHM,4.496
Bolivia,BOL,4.488
Jamaica,JAM,4.426
India,IND,4.008
Gambia,GMB,3.8880000000000003
Sudan,SDN,3.8839590918000004
Ghana,GHA,3.84
Zimbabwe,ZWE,3.75
Namibia,NAM,3.722
El Salvador,SLV,3.69
Cote d'Ivoire,CIV,3.6799999999999997
Chad,TCD,3.6720000000000006
Honduras,HND,3.6439999999999997
Uzbekistan,UZB,3.604
Azerbaijan,AZE,3.444
Guatemala,GTM,3.44
United Arab Emirates,ARE,3.412
Israel,ISR,3.3939999999999997
Sri Lanka,LKA,3.386
Haiti,HTI,3.2479999999999998
Samoa,WSM,3.242
Central African Republic,CAF,3.218
Malawi,MWI,3.15
Kenya,KEN,3.1359999999999997
Fiji,FJI,3.134
Myanmar,MMR,2.8920000000000003
Tajikistan,TJK,2.854
Benin,BEN,2.588
Afghanistan,AFG,2.572344356800001
Togo,TGO,2.3980000000000006
Turkey,TUR,2.2039999999999997
Ethiopia,ETH,2.1719999999999997
Lebanon,LBN,2.114
Singapore,SGP,2.112
Oman,OMN,2.0799999999999996
Mozambique,MOZ,1.95
Maldives,MDV,1.9
Madagascar,MDG,1.8719999999999999
Tuvalu,TUV,1.834
Nepal,NPL,1.8219999999999998
Vanuatu,VUT,1.6920000000000002
Tunisia,TUN,1.6660000000000004
Eritrea,ERI,1.578
Papua New Guinea,PNG,1.568
Solomon Islands,SLB,1.556
Qatar,QAT,1.544
Bahrain,BHR,1.5159999999999998
Tonga,TON,1.3779999999999997
Kiribati,KIR,1.3499999999999999
Somalia,SOM,1.294181691
Bhutan,BTN,1.228
Malaysia,MYS,1.166
Mali,MLI,1.1640000000000001
Djibouti,DJI,0.898
Guinea,GIN,0.8640000000000001
Morocco,MAR,0.852
Algeria,DZA,0.784
Senegal,SEN,0.78
Jordan,JOR,0.6599999999999999
Indonesia,IDN,0.5479999999999999
Comoros,COM,0.49000000000000005
Iraq,IRQ,0.42800000000000005
Niger,NER,0.402
Egypt,EGY,0.332
Yemen,YEM,0.2832
Pakistan,PAK,0.213
Saudi Arabia,SAU,0.182
Bangladesh,BGD,0.11800000000000002
Mauritania,MRT,0.097
Kuwait,KWT,0.019
