CountryID,Country,Valoare Adaugata,0
1,Afghanistan,5660
2,Albania,7284
3,Algeria,9671
4,Argentina,8261
5,Australia,7313
6,Austria,6152
7,Bangladesh,8064
8,Belgium,6055
9,Brazil,10202
10,Canada,7164
11,Chile,9412
12,China,8937
13,Colombia,7850
14,Croatia,6981
15,Cuba,9155
16,Czech Republic,9491
17,Denmark,7533
18,Egypt,9534
19,Ethiopia,5290
20,Finland,8673
21,France,6344
22,Germany,6604
23,Ghana,7737
24,Greece,8230
25,Hungary,8141
26,India,8833
27,Indonesia,9729
28,Iran,7036
29,Iraq,7247
30,Ireland,11186
31,Israel,8405
32,Italy,10415
33,Japan,8721
34,Kenya,8150
35,Malaysia,8720
36,Mexico,9883
37,Morocco,6118
38,Nepal,7120
39,Netherlands,9006
40,New Zealand,10359
41,Nigeria,7442
42,Norway,6289
43,Pakistan,5955
44,Peru,8191
45,Philippines,9825
46,Poland,8737
47,Portugal,9947
48,Romania,8726
49,Russia,8611
50,Saudi Arabia,8408
